10.3 	 0.0591949 	 0.0392966 	 0.0198983
10.4 	 0.0591248 	 0.0396686 	 0.0194562
10.5 	 0.0597282 	 0.0401797 	 0.0195485
10.6 	 0.0604952 	 0.0403892 	 0.0201061
10.7 	 0.0603351 	 0.0401784 	 0.0201568
10.8 	 0.0593935 	 0.0394378 	 0.0199558
10.9 	 0.0582343 	 0.0386616 	 0.0195727
11 	 0.056413 	 0.0373773 	 0.0190357
11.1 	 0.0550065 	 0.0369222 	 0.0180843
11.2 	 0.0546806 	 0.0375169 	 0.0171637
11.3 	 0.0540633 	 0.0373406 	 0.0167228
11.4 	 0.0546328 	 0.0377939 	 0.0168389
11.5 	 0.0553081 	 0.0376576 	 0.0176505
11.6 	 0.0546215 	 0.037734 	 0.0168875
11.7 	 0.0542731 	 0.0378345 	 0.0164386
11.8 	 0.0547224 	 0.038339 	 0.0163834
11.9 	 0.0555236 	 0.0384934 	 0.0170301
12 	 0.0571503 	 0.0394357 	 0.0177146
12.1 	 0.0586101 	 0.0400699 	 0.0185402
12.2 	 0.0601631 	 0.0408414 	 0.0193217
12.3 	 0.0613074 	 0.0412028 	 0.0201046
12.4 	 0.0619758 	 0.041231 	 0.0207449
12.5 	 0.0635771 	 0.0417623 	 0.0218148
12.6 	 0.0646187 	 0.0422855 	 0.0223332
12.7 	 0.0657568 	 0.0427871 	 0.0229696
12.8 	 0.0664468 	 0.0428767 	 0.0235701
12.9 	 0.0671607 	 0.0430248 	 0.0241359
13 	 0.0680542 	 0.0436473 	 0.0244069
13.1 	 0.0688482 	 0.0441942 	 0.024654
13.2 	 0.0685829 	 0.0440981 	 0.0244848
13.3 	 0.0685802 	 0.0441247 	 0.0244554
13.4 	 0.0681267 	 0.0440103 	 0.0241164
13.5 	 0.0679216 	 0.0446463 	 0.0232753
13.6 	 0.0678228 	 0.0449961 	 0.0228267
13.7 	 0.0677196 	 0.0451896 	 0.02253
13.8 	 0.0670899 	 0.0446879 	 0.022402
13.9 	 0.0663912 	 0.0443104 	 0.0220808
14 	 0.0652657 	 0.0437586 	 0.0215071
14.1 	 0.0640319 	 0.0432402 	 0.0207917
14.2 	 0.0635388 	 0.0430279 	 0.0205109
14.3 	 0.0623614 	 0.0422445 	 0.0201169
14.4 	 0.0617648 	 0.0419476 	 0.0198172
14.5 	 0.0603271 	 0.0410661 	 0.0192609
14.6 	 0.0584561 	 0.0396966 	 0.0187595
14.7 	 0.057551 	 0.0388413 	 0.0187097
14.8 	 0.0570887 	 0.0384393 	 0.0186495
14.9 	 0.0567034 	 0.0381839 	 0.0185194
15 	 0.0569912 	 0.0381088 	 0.0188825
15.1 	 0.0575477 	 0.038391 	 0.0191567
15.2 	 0.0587926 	 0.0388825 	 0.0199101
15.3 	 0.0594052 	 0.0395374 	 0.0198678
15.4 	 0.0600063 	 0.0402745 	 0.0197318
15.5 	 0.0603295 	 0.0404374 	 0.0198921
15.6 	 0.0608392 	 0.0408199 	 0.0200194
15.7 	 0.0616271 	 0.0413597 	 0.0202673
15.8 	 0.0618235 	 0.041679 	 0.0201444
15.9 	 0.0619051 	 0.0419958 	 0.0199093
16 	 0.062239 	 0.0422669 	 0.0199721
16.1 	 0.062935 	 0.0428777 	 0.0200573
16.2 	 0.063407 	 0.0433438 	 0.0200632
16.3 	 0.0643369 	 0.0440034 	 0.0203336
16.4 	 0.064993 	 0.044167 	 0.020826
16.5 	 0.0654336 	 0.0443559 	 0.0210778
16.6 	 0.0668777 	 0.0453312 	 0.0215465
16.7 	 0.0678704 	 0.0458123 	 0.0220581
16.8 	 0.0692343 	 0.0466783 	 0.022556
16.9 	 0.0706232 	 0.0473349 	 0.0232882
17 	 0.0719058 	 0.047797 	 0.0241088
17.1 	 0.0725187 	 0.0477158 	 0.0248029
17.2 	 0.0740614 	 0.0483207 	 0.0257407
17.3 	 0.0759404 	 0.0488494 	 0.027091
17.4 	 0.0772604 	 0.0489832 	 0.0282772
17.5 	 0.0776575 	 0.0490168 	 0.0286407
17.6 	 0.0781905 	 0.049068 	 0.0291225
17.7 	 0.0777963 	 0.0488044 	 0.0289919
17.8 	 0.0774549 	 0.0486552 	 0.0287997
17.9 	 0.0770541 	 0.0483477 	 0.0287064
18 	 0.0758115 	 0.0474572 	 0.0283542
18.1 	 0.0741934 	 0.0464012 	 0.0277922
18.2 	 0.0722392 	 0.0452588 	 0.0269804
18.3 	 0.0701053 	 0.04398 	 0.0261253
18.4 	 0.0677327 	 0.0427981 	 0.0249346
18.5 	 0.0652263 	 0.0414712 	 0.023755
18.6 	 0.0623863 	 0.0399211 	 0.0224652
18.7 	 0.0593947 	 0.0385218 	 0.0208728
18.8 	 0.0560627 	 0.0366872 	 0.0193755
18.9 	 0.0523707 	 0.034623 	 0.0177477
19 	 0.0482204 	 0.0323613 	 0.0158592
19.1 	 0.0443721 	 0.0302055 	 0.0141666
19.2 	 0.0396417 	 0.0274872 	 0.0121546
19.3 	 0.0348287 	 0.0246988 	 0.0101299
19.4 	 0.0304238 	 0.0221072 	 0.00831663
19.5 	 0.0267584 	 0.0197708 	 0.00698752
19.6 	 0.0231889 	 0.0174751 	 0.0057138
19.7 	 0.0201745 	 0.0154356 	 0.00473891
19.8 	 0.0175242 	 0.0135999 	 0.00392434
19.9 	 0.0150041 	 0.0118838 	 0.00312028
20 	 0.0129148 	 0.0104777 	 0.00243706
20.1 	 0.0111233 	 0.00923019 	 0.00189309
20.2 	 0.00942615 	 0.00794722 	 0.00147893
20.3 	 0.00794421 	 0.00689285 	 0.00105136
20.4 	 0.00660235 	 0.00590121 	 0.000701134
20.5 	 0.00559656 	 0.00510213 	 0.000494433
20.6 	 0.00460474 	 0.0042297 	 0.000375047
20.7 	 0.00371432 	 0.00345638 	 0.000257939
20.8 	 0.00286631 	 0.00270793 	 0.000158388
20.9 	 0.00228735 	 0.00219627 	 9.10893e-05
21 	 0.00190473 	 0.0018546 	 5.01244e-05
21.1 	 0.00157392 	 0.00155406 	 1.98602e-05
21.2 	 0.00126892 	 0.00126892 	 0
21.3 	 0.00102804 	 0.00102804 	 0
21.4 	 0.000777116 	 0.000777116 	 0
21.5 	 0.00061688 	 0.00061688 	 0
21.6 	 0.000431143 	 0.000431143 	 0
21.7 	 0.000244102 	 0.000244102 	 0
21.8 	 0.00010698 	 0.00010698 	 0
21.9 	 5.06981e-05 	 5.06981e-05 	 0
22 	 2.74027e-05 	 2.74027e-05 	 0
22.1 	 1.81035e-05 	 1.81035e-05 	 0
22.2 	 1.79408e-05 	 1.79408e-05 	 0
22.3 	 1.77803e-05 	 1.77803e-05 	 0
22.4 	 4.40546e-06 	 4.40546e-06 	 0
